t,I,u,I_nn,u_nn
0.0,1.0,0.0,1.0,-1.6232451
0.01,0.992396487823117,-1.752747705511421,0.9937360195213542,-1.6230773
0.02,0.9848932177156989,-1.7352202284575,0.9874162133217795,-1.6218089
0.03,0.9774894317716745,-1.7178680261741266,0.9810511873636925,-1.6194649
0.04,0.9701843821338773,-1.7006893459135968,0.9746512250312233,-1.6160746
0.05,0.9629773309185055,-1.6836824524556817,0.9682262859317563,-1.6116725
0.06,0.9558675501405878,-1.6668456279323527,0.9617860118882327,-1.6062961
0.07,0.9488543216404496,-1.6501771716542704,0.9553397137538308,-1.5999875
0.08,0.9419369370111715,-1.6336753999389744,0.9488963894001411,-1.5927916
0.09,0.9351146975270335,-1.6173386459408403,0.9424647021285639,-1.5847567
0.1,0.9283869140729358,-1.6011652594827004,0.9360530094379005,-1.5759343
0.11,0.9217529070747923,-1.5851536068891476,0.9296693318675774,-1.5663776
0.12,0.9152120064308857,-1.5693020708215395,0.9233213900747805,-1.5561411
0.13,0.9087635514441814,-1.553609050114619,0.9170160199309423,-1.5452827
0.14,0.9024068907555896,-1.5380729596147775,0.91075933805997,-1.533859
0.15,0.8961413822781719,-1.5226922300199377,0.9045570168520086,-1.5219291
0.16,0.8899663931322841,-1.5074653077210618,0.8984142794851387,-1.5095501
0.17,0.8838812995816487,-1.4923906546451835,0.8923358681143305,-1.4967787
0.18,0.8778854869703516,-1.4774667481000672,0.8863260988024886,-1.4836721
0.19,0.8719783496607549,-1.4626920806204171,0.880388833600814,-1.4702843
0.2,0.8661592909723225,-1.4480651598155732,0.8745274544665712,-1.4566687
0.21,0.8604277231213482,-1.4335845082187801,0.8687449249106381,-1.4428755
0.22,0.8547830671615843,-1.4192486631379704,0.8630437201449453,-1.4289523
0.23,0.8492247529257622,-1.4050561765079779,0.857425887690077,-1.414944
0.24,0.8437522189679992,-1.3910056147442884,0.8518930209671152,-1.4008923
0.25,0.8383649125070876,-1.3770955585982507,0.846446235121983,-1.386836
0.26,0.8330622893706574,-1.3633246030136803,0.841086224417938,-1.3728106
0.27,0.8278438139402098,-1.349691356984965,0.8358131895169104,-1.3588469
0.28,0.8227089590970145,-1.3361944434165494,0.8306269326738506,-1.3449732
0.29,0.817657206168865,-1.3228324989838154,0.8255270434282663,-1.3312145
0.3,0.8126880448776875,-1.309604173995429,0.82051407903768,-1.3175915
0.31,0.8078009732879983,-1.2965081322569314,0.8155871802804138,-1.3041226
0.32,0.8029954977562019,-1.2835430509358277,0.8107451945403112,-1.2908232
