t,I,u,I_nn,u_nn
0.0,1.0,0.0,1.0,1.7581475
0.01,0.9923964891648723,1.7527475726776438,0.9924657657335255,1.7411712
0.02,0.9848932203865929,1.735220098214531,0.985025770352854,1.7243254
0.03,0.9774894357591157,1.7178678985068294,0.9776796501665127,1.7076104
0.04,0.9701843874252983,1.7006892208070434,0.9704270343430418,1.6910261
0.05,0.9629773375013604,1.6836823298951502,0.9632675469008911,1.6745734
0.06,0.9558675580023507,1.6668455079033218,0.9562008017880265,1.6582524
0.07,0.9488543307686127,1.6501770541424177,0.9492263973806647,1.6420631
0.08,0.9419369473932434,1.6336752849301732,0.9423439382832693,1.6260061
0.09,0.9351147091505372,1.617338533421156,0.9355530120296955,1.6100816
0.1,0.9283869269254074,1.6011651494383872,0.9288532196803615,1.5942893
0.11,0.9217529211437787,1.585153499306645,0.9222441428495735,1.5786293
0.12,0.9152120217039434,1.5693019656874692,0.915725364011898,1.5631018
0.13,0.9087635679088744,1.5536089474157806,0.9092964614084816,1.5477068
0.14,0.9024069083994878,1.538072859338147,0.9029570043570058,1.5324441
0.15,0.8961414010888497,1.5226921321526619,0.8967065674541487,1.5173137
0.16,0.8899664130973183,1.5074652122504568,0.8905447253559053,1.5023152
0.17,0.8838813206886171,1.4923905615587305,0.8844710210055624,1.4874487
0.18,0.8778855092068314,1.4774666573854072,0.8784850354248593,1.4727137
0.19,0.8719783730143211,1.4626919922653483,0.8725863878697121,1.4581106
0.2,0.8661593154305461,1.448065073808047,0.866774602974262,1.4436381
0.21,0.8604277486717951,1.4335844245468996,0.8610492345106556,1.4292964
0.22,0.8547830937918134,1.4192485817899847,0.8554098045819802,1.415085
0.23,0.8492247806233238,1.4050560974722797,0.8498558636646995,1.4010037
0.24,0.8437522477204341,1.3910055380094086,0.8443869644409838,1.387052
0.25,0.8383649423019248,1.377095484152854,0.8390026379240567,1.3732295
0.26,0.8330623201954133,1.3633245308465591,0.8337024501884401,1.3595355
0.27,0.8278438457823868,1.3496912870850355,0.828485930469611,1.3459697
