t,I,u,I_nn,u_nn
0.0,0.0,-4.176297062249929e-9,0.0,4.999995
0.04,0.2083333353275034,5.000000047860082,0.20405365969358166,4.9999948
0.08,0.4253472262857951,5.000000047671498,0.4164348876183336,4.9999943
0.12,0.6514033626917155,5.000000047456295,0.6374835636541832,4.9999933
0.16,0.8868785047708968,5.0000000472086334,0.8675532761982533,4.9999914
0.2,1.1321651110913855,5.00000004692083,1.1070122939975218,4.9999886
0.24,1.3876719926611334,5.000000046582571,1.356243557327925,4.9999833
0.28,1.653824994279501,5.000000046179679,1.6156462011184114,4.999972
0.32,1.9310677042783186,5.000000045692126,1.8856361564604136,4.9999456
0.36,2.219862193835359,5.000000045090649,2.166643401743857,4.999877
0.4,2.5206897870922806,5.0000000443307595,2.459110210323146,4.999672
0.44,2.8340518633603473,5.000000043341327,2.7634925009370783,4.999012
0.48,3.16047069275041,5.000000042001159,3.080221762444101,4.996813
0.52,3.500490306618574,5.000000040085524,3.4096754228506354,4.9898
0.56,3.8546774042745806,5.00000003712557,3.752049600843653,4.969955
0.6,4.223622297450739,5.000000031953252,4.107042746172356,4.9229712
0.64,4.607939894037153,5.000000020623154,4.473842833798895,4.832732
0.68,5.008270721957766,4.999999976057561,4.851129327959725,4.6923056
0.72,5.422596981777384,4.935559513713104,5.2371094103146545,4.5111217
0.76,5.845960908058318,4.738137248965016,5.630756125468171,4.3097725
0.8,6.27906810315046,4.54861177415309,6.032352071589803,4.1085825
0.84,6.722640411986184,4.366667308906927,6.4424741908267,3.920455
0.88,7.177417121629571,4.192000619455068,6.861949413912301,3.7503252
0.92,7.644156193213337,4.024320596380814,7.291850414378335,3.5978065
0.96,8.123635525164437,3.863347773613066,7.733440769109106,3.459962
1.0,8.616654249687976,3.7088138634005254,8.187711723382481,3.333142
1.04,9.12403406464891,3.5604613093744124,8.655469118515649,3.2139478
1.08,9.646620603066044,3.418042857362294,9.137503576631154,3.0996392
1.12,10.185284842499165,3.2813211433288565,9.634581175519054,2.9882524
1.16,10.740924556677616,3.1500682977837164,10.147452731896145,2.8785782
1.2,11.314465811789455,3.0240655660065348,10.676849703431788,2.7700672
